Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,0,0,0,0,0,0,0,0
2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,10249,4.19,2.16986
1.9316462,3.166,1286,11.2154,44464.5,4045,7070,4.03,2.01
3.5730141,3.37,755,11.3113,54679.3,4260,9219,4.14,2.15
6.9989206,3.953,2840,14.7752,448.744,1282,6596,3.71,2.7
1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,5600,4.48851,0.890774
2.4704981,2.191,250,1.44656,575.597,1364,5413.7,4.46,0.94
12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,7601,4.31,1.53641
1.10422,2.37,14177.7,21.0448,39459.3,3926,6995.2,4.07,1.61
4.95912,2.509,7440,22.9123,673.55,1419,5889,3.86,2
5.2341008,3.7078139,20796.94163,24.2931408,1453.666385,1574.838185,7645,4.3,1.56203
4.4119378,3.65,15062,15.4706,653.252,1408,6280,4.32092,1.21
1.90879,1.909,618.482,3.34688,985.807,1561,6022.6,4.52,1.22
3.09574,4.475,380,3.4262,18087.9,3230,6084,4.13,1.41
1.3214483,3.435,2180,21.8839,35623.2,3827,5050.8,3.56,2.99
14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,5690,4.58,0.853898
3.2834565,1.537,1558,2.87648,161.092,992,4272,4.6,0.68
11.02875,2.715,1694,2.76586,15.0463,548,4272,4.6,0.68
5.0113292,1.024,1210,2.52314,17.1793,567,4272,4.6,0.68
1.01606,2.843,240,1.20704,2784.04,2023,4634,4.64,0.68
3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351,4.22896,1.4
12.1246519,4.612,7279,17.6729,207.32,1057,4807.6,4.17,1.07
5.652623,3.434,1250,8.94354,2717.06,2011,6415.4,3.98,1.92
5.6643704,3.8087395,3491.823297,14.7738943,7657.662151,2385.853649,10395,4.13,2.3383701
3.6404389,2.5339234,476.3077321,3.7025342,9941.226551,2783.098027,9810,4.43,1.60776
6.0744477,2.4954821,5982.521241,30.9493217,1487.564434,1583.93989,5964,3.7,2.4303801
3.7795212,2.952,2761,5.98375,466.528,1294,5771,4.31,1.18
1.2025238,1.991,390,6.31106,208477,5952,9158,4.32,1.74
4.0872956,5.586113,3572.17125,13.6237732,2242.36054,1755.076738,6036,3.93359,2.2186699
8.30792,3.228,8350,43.1068,2276.25,1924,9081,3.83,3.05
0.758082,1.8184632,583.93181,10.1273702,216218.1005,5499.747633,9917,3.75,3.5086601
1.4415577,2.349,507,3.61078,16861.8,3174,6902,4.25,1.52
3.7039994,4.277,7590,17.57,3546.13,2149,7013.8,4.21,1.9
1.3042553,1.706,914,9.36472,26944.7,3569,6762,4.11,1.75
0.62627,0.666,1880,5.72162,3235.57,2101,5622,4.5,0.93
0.30412,0.748,1330,10.417,280833,6413,11892,4.14,2.52
2.1805277,2.969175,16340.13532,16.808853,1770.465054,1654.404068,6599,4.21017,1.2714601
2.1846669,2.86528,11708.02285,13.7028527,1362.138143,1549.44098,5630,4.37759,1.23824
3.7354838,4.142,17030,21.2315,1292.19,1670,6650,4.1639,1.57
21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,5625,4.438,1.56486
9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.993283,5958.2,4.34,1.58
15.5077855,4.565,513,2.43432,88.0718,853,6122,4.30881,1.17
17.4713078,4.4284819,1199.754148,3.5766828,53.3700317,689.3568807,5783.54,4.49925,0.974669
5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.986113,6124.3,4.38,1.36963
51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599,4.46138,0.943356
11.1296441,7.0473822,951.6169809,12.8402271,1255.681716,1518.237249,5785,4.344,3.4475601
9.4496506,2.021,19750,17.0216,38.5799,694,5509,4.39758,0.94
2.8493825,3.567,8049,16.3869,2005.83,1864,6900,4.438,1.77
4.1150576,1.08,487,2.30057,77.3573,826,5394,4.50942,0.89
10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,5552,4.61783,0.791742
6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,4803,4.52079,0.737189
12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,4803,4.52079,0.737189
3.1316735,2.4579197,14915.69437,9.4995191,148.6544991,890.5622134,4351,4.438,0.76701
2.9776446,2.962,13022,14.4339,758.324,1461,5703,4.25824,1.22
3.9502008,4.444,13914,20.5357,1009.38,1570,6153,4.18077,1.71
3.5544026,2.0550535,10164.87534,13.200677,515.0014435,1214.987644,5639,4.37172,1.11499
12.8379689,9.8464123,10539.01928,25.4886382,374.129,1225,5765,4.34773,2.4494
