koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,CANDIDATE,0,0,0,0,9.48803557,170.53875,0.146,2.9575,6.16E+02,2.26,793,93.59,35.8,5455,4.467,0.927
CONFIRMED,CANDIDATE,0,0,0,0,54.4183827,162.51384,0.586,4.507,8.75E+02,2.83,443,9.11,25.8,5455,4.467,0.927
CANDIDATE,CANDIDATE,0,0,0,0,19.89913995,175.850252,0.969,1.7822,1.08E+04,14.6,638,39.3,76.3,5853,4.544,0.868
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8.08E+03,33.46,1395,891.96,505.6,5805,4.564,0.791
CONFIRMED,CANDIDATE,0,0,0,0,2.525591777,171.59555,0.701,1.6545,6.03E+02,2.75,1406,926.16,40.9,6031,4.438,1.046
CONFIRMED,CANDIDATE,0,0,0,0,11.09432054,171.20116,0.538,4.5945,1.52E+03,3.9,835,114.81,66.5,6046,4.486,0.972
CONFIRMED,CANDIDATE,0,0,0,0,4.13443512,172.97937,0.762,3.1402,6.86E+02,2.77,1160,427.65,40.2,6046,4.486,0.972
CONFIRMED,CANDIDATE,0,0,0,0,2.56658897,179.55437,0.755,2.429,2.27E+02,1.59,1360,807.74,15,6046,4.486,0.972
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,7.36178958,132.25053,1.169,5.022,2.34E+02,39.21,1342,767.22,47.7,6227,3.986,1.958
CONFIRMED,CANDIDATE,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4.91E+03,5.76,600,30.75,161.9,5031,4.485,0.848
CONFIRMED,CANDIDATE,0,0,0,0,2.470613377,122.763305,0.818,1.74319,1.42E+04,13.04,1339,761.46,4304.3,5820,4.457,0.964
CONFIRMED,CANDIDATE,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6.67E+03,16.1,2048,4148.92,5945.9,6440,4.019,1.952
CONFIRMED,CANDIDATE,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9.15E+03,14.59,1521,1264.67,1741.5,6225,4.169,1.451
