Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
CANDIDATE,9.48803557,2.9575,616.0,2.26,93.59,793.0,5455.0,4.467,0.927
CANDIDATE,54.4183827,4.507,875.0,2.83,9.11,443.0,5455.0,4.467,0.927
CANDIDATE,19.89913995,1.7822,10800.0,14.6,39.3,638.0,5853.0,4.544,0.868
FALSE POSITIVE,1.736952453,2.40641,8080.0,33.46,891.96,1395.0,5805.0,4.564,0.791
CANDIDATE,2.525591777,1.6545,603.0,2.75,926.16,1406.0,6031.0,4.438,1.046
CANDIDATE,11.09432054,4.5945,1520.0,3.9,114.81,835.0,6046.0,4.486,0.972
CANDIDATE,4.13443512,3.1402,686.0,2.77,427.65,1160.0,6046.0,4.486,0.972
CANDIDATE,2.56658897,2.429,227.0,1.59,807.74,1360.0,6046.0,4.486,0.972
FALSE POSITIVE,7.36178958,5.022,234.0,39.21,767.22,1342.0,6227.0,3.986,1.958
CANDIDATE,16.06864674,3.5347,4910.0,5.76,30.75,600.0,5031.0,4.485,0.848
CANDIDATE,2.470613377,1.74319,14200.0,13.04,761.46,1339.0,5820.0,4.457,0.964
CANDIDATE,2.204735417,3.88864,6670.0,16.1,4148.92,2048.0,6440.0,4.019,1.952
CANDIDATE,3.522498429,3.19843,9150.0,14.59,1264.67,1521.0,6225.0,4.169,1.451
CANDIDATE,3.709214104,2.6302,131.0,1.16,500.46,1206.0,5833.0,4.407,1.022
FALSE POSITIVE,11.52144606,3.6399,18000.0,150.51,75.88,753.0,5795.0,4.554,0.848
FALSE POSITIVE,19.40393776,12.2155,8920.0,7.18,17.69,523.0,5043.0,4.591,0.68
FALSE POSITIVE,19.22138894,4.79843,74300.0,49.29,55.97,698.0,6117.0,4.496,0.947
FALSE POSITIVE,16.46983774,9.4378,10500.0,7.94,29.61,595.0,5152.0,4.517,0.786
CANDIDATE,9.27358173,3.2875,1290.0,2.47,41.85,649.0,4856.0,4.583,0.696
CANDIDATE,6.02930329,1.5821,1910.0,2.85,50.04,678.0,4537.0,4.648,0.672
FALSE POSITIVE,2.696370652,3.6129,398.0,1.58,305.34,1066.0,4989.0,4.504,0.819
CANDIDATE,5.349553819,3.0278,831.0,2.55,168.99,919.0,5185.0,4.44,0.91
CANDIDATE,3.94105221,2.5984,363.0,1.7,253.15,1018.0,5185.0,4.44,0.91
CANDIDATE,8.10904807,3.596,217.0,1.3,97.03,800.0,5185.0,4.44,0.91
FALSE POSITIVE,386.6030528,6.8057,24900.0,41.5,1.84,297.0,5543.0,4.081,1.58
CANDIDATE,21.67699193,3.4555,857.0,2.95,18.64,530.0,4954.0,4.5,0.828
CANDIDATE,4.99677968,2.1717,935.0,2.78,166.95,917.0,5339.0,4.552,0.847
CANDIDATE,4.280963604,2.875,751.0,2.3,247.87,1012.0,5644.0,4.564,0.831
FALSE POSITIVE,1.50635409,1.5155,2210.0,4.53,1054.12,1452.0,5714.0,4.563,0.831
FALSE POSITIVE,670.645531,53.412,18100.0,14.14,0.35,196.0,5520.0,4.466,0.983
FALSE POSITIVE,61.2563628,7.633,5120.0,39.87,15.43,505.0,6144.0,4.402,1.091
CANDIDATE,38.3775486,5.588,724.0,2.82,18.53,529.0,5481.0,4.369,1.036
CANDIDATE,41.19725502,4.6297,2210.0,3.86,8.76,439.0,5031.0,4.485,0.848
CANDIDATE,6.252962249,2.5819,1040.0,2.65,108.3,823.0,5031.0,4.485,0.848
CANDIDATE,16.01308419,3.2554,1120.0,3.1,29.31,593.0,5015.0,4.499,0.826
CANDIDATE,32.62876672,4.7971,1800.0,3.36,15.55,506.0,5586.0,4.56,0.798
CANDIDATE,91.7732862,6.473,652.0,2.12,3.92,359.0,5586.0,4.56,0.798
CANDIDATE,4.959319244,2.22739,9800.0,12.21,349.4,1103.0,5712.0,4.359,1.082
FALSE POSITIVE,2.701287801,3.3827,860.0,6.54,527.81,1222.0,5550.0,4.468,0.91
CANDIDATE,4.49876511,3.7362,460.0,2.1,389.62,1133.0,6075.0,4.486,0.969
FALSE POSITIVE,19.65120951,5.2514,11800.0,12.42,67.03,730.0,6074.0,4.391,1.063
CANDIDATE,5.412203927,2.9472,602.0,2.94,337.68,1093.0,5779.0,4.339,1.087
CANDIDATE,41.43958662,10.5989,2790.0,5.5,16.72,516.0,5468.0,4.367,1.046
CANDIDATE,8.35389523,2.2514,1040.0,2.52,91.9,790.0,5592.0,4.582,0.787
CANDIDATE,4.125543472,3.1744,1490.0,4.43,565.35,1243.0,6174.0,4.417,1.103
