Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,0,0,0,0,0,0,0,0,0
1,9.48803557,2.9575,616,2.26,93.59,793,5455,4.467,0.927
1,54.4183827,4.507,875,2.83,9.11,443,5455,4.467,0.927
1,19.89913995,1.7822,10800,14.6,39.3,638,5853,4.544,0.868
0,1.736952453,2.40641,8080,33.46,891.96,1395,5805,4.564,0.791
1,2.525591777,1.6545,603,2.75,926.16,1406,6031,4.438,1.046
1,11.09432054,4.5945,1520,3.9,114.81,835,6046,4.486,0.972
1,4.13443512,3.1402,686,2.77,427.65,1160,6046,4.486,0.972
1,2.56658897,2.429,227,1.59,807.74,1360,6046,4.486,0.972
0,7.36178958,5.022,234,39.21,767.22,1342,6227,3.986,1.958
1,16.06864674,3.5347,4910,5.76,30.75,600,5031,4.485,0.848
1,2.470613377,1.74319,14200,13.04,761.46,1339,5820,4.457,0.964
1,2.204735417,3.88864,6670,16.1,4148.92,2048,6440,4.019,1.952
1,3.522498429,3.19843,9150,14.59,1264.67,1521,6225,4.169,1.451
1,3.709214104,2.6302,131,1.16,500.46,1206,5833,4.407,1.022
0,11.52144606,3.6399,18000,150.51,75.88,753,5795,4.554,0.848
0,19.40393776,12.2155,8920,7.18,17.69,523,5043,4.591,0.68
0,0,0,0,0,0,0,0,0,0
0,19.22138894,4.79843,74300,49.29,55.97,698,6117,4.496,0.947
0,16.46983774,9.4378,10500,7.94,29.61,595,5152,4.517,0.786
1,9.27358173,3.2875,1290,2.47,41.85,649,4856,4.583,0.696
1,6.02930329,1.5821,1910,2.85,50.04,678,4537,4.648,0.672
0,2.696370652,3.6129,398,1.58,305.34,1066,4989,4.504,0.819
1,5.349553819,3.0278,831,2.55,168.99,919,5185,4.44,0.91
1,3.94105221,2.5984,363,1.7,253.15,1018,5185,4.44,0.91
0,1,1,1,1,1,1,1,1,1
1,8.10904807,3.596,217,1.3,97.03,800,5185,4.44,0.91
0,386.6030528,6.8057,24900,41.5,1.84,297,5543,4.081,1.58
