# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 11:20:40 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
1000.01,FP,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600
1001.01,PC,2459987.9488730,1.9316462,3.1660000,1286.0000000,11.2154000,44464.5000000,4045.0000000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000
1002.01,FP,2459224.6878020,1.8675574,1.4080000,1500.0000000,23.7529000,2860.6100000,2037.0000000,9.2995010,943.1090000,8924.0000000,,5.7300000
1003.01,FP,2458493.3957000,2.7432300,3.1670000,383.4100000,,1177.3600000,1631.0000000,9.3003000,7728.1700000,5388.5000000,4.1500000,
1004.01,FP,2459987.0472620,3.5730141,3.3700000,755.0000000,11.3113000,54679.3000000,4260.0000000,9.1355000,356.4370000,9219.0000000,4.1400000,2.1500000
1005.01,FP,2459985.1568550,4.5505945,2.6540000,3731.0000000,7.1084100,414.7750000,1257.0000000,9.1309000,100.7110000,5613.0000000,,1.0900000
1006.01,FP,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,1750.9326350,1649.8220699,9.2386000,,6616.0000000,,1.5342900
1007.01,PC,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,448.7440000,1282.0000000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000
1008.01,FP,2460258.2361220,2.0483755,2.7670000,483.0000000,3.1962100,5644.4000000,,8.9362000,144.2970000,6858.5000000,4.2000000,1.5700000
1009.01,PC,2459229.2309240,1.9600277,2.0065257,1707.6272693,,1063.3422958,1456.4246534,8.4331000,866.1470000,8868.7000000,,
101.01,KP,2458326.0091170,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740
1010.01,FP,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.4508600,485.1220000,9438.0000000,,1.0000000
1011.01,PC,2459984.6277680,2.4704981,2.1910000,250.0000000,1.4465600,575.5970000,1364.0000000,8.2388000,52.6200000,5413.7000000,4.4600000,0.9400000
1012.01,APC,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,112144.0000000,5098.0000000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000
1013.01,FP,2459232.2483220,5.4255548,3.9637474,14939.6342222,,273.5880696,1037.2753045,7.6095000,510.2950000,8868.7000000,,
1014.01,FP,2459985.6570410,1.4095184,0.9484999,2841.5103258,,1650.4220710,1625.6180218,7.6780000,224.6720000,9307.0000000,,
1015.01,FP,2459963.6100650,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,10.7069000,906.4960000,4897.0000000,,6.7996101
